Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=4, test_batch_size=4, epochs=2, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
  epoch 0, batch 7760, loss 3.571578
  epoch 0, batch 7800, loss 2.447464
  epoch 0, batch 7840, loss 2.890949
  epoch 0, batch 7880, loss 2.961651
  epoch 0, batch 7920, loss 4.366961
  epoch 0, batch 7960, loss 3.463492
  epoch 0, batch 8000, loss 3.527112
  epoch 0, batch 8040, loss 3.081960
  epoch 0, batch 8080, loss 3.033667
  epoch 0, batch 8120, loss 2.863017
  epoch 0, batch 8160, loss 2.979327
  epoch 0, batch 8200, loss 3.473590
  epoch 0, batch 8240, loss 3.442078
  epoch 0, batch 8280, loss 3.974297
  epoch 0, batch 8320, loss 3.477896
  epoch 0, batch 8360, loss 2.878789
  epoch 0, batch 8400, loss 3.019557
  epoch 0, batch 8440, loss 2.329571
  epoch 0, batch 8480, loss 3.178707
  epoch 0, batch 8520, loss 2.630900
  epoch 0, batch 8560, loss 3.818758
  epoch 0, batch 8600, loss 3.550668
  epoch 0, batch 8640, loss 3.382532
  epoch 0, batch 8680, loss 3.277088
  epoch 0, batch 8720, loss 2.216747
  epoch 0, batch 8760, loss 3.907729
  epoch 0, batch 8800, loss 2.841809
  epoch 0, batch 8840, loss 3.280415
  epoch 0, batch 8880, loss 3.149242
  epoch 0, batch 8920, loss 2.609563
  epoch 0, batch 8960, loss 2.588478
  epoch 0, batch 9000, loss 3.745866
  epoch 0, batch 9040, loss 2.725717
  epoch 0, batch 9080, loss 2.999097
  epoch 0, batch 9120, loss 2.528154
  epoch 0, batch 9160, loss 3.525158
  epoch 0, batch 9200, loss 2.743960
  epoch 0, batch 9240, loss 4.249767
  epoch 0, batch 9280, loss 3.552987
  epoch 0, batch 9320, loss 3.152685
  epoch 0, batch 9360, loss 3.274626
  epoch 0, batch 9400, loss 3.360708
  epoch 0, batch 9440, loss 3.675522
  epoch 0, batch 9480, loss 3.297255
  epoch 0, batch 9520, loss 2.707678
  epoch 0, batch 9560, loss 4.309569
  epoch 0, batch 9600, loss 3.312652
  epoch 0, batch 9640, loss 3.010398
  epoch 0, batch 9680, loss 2.574177
  epoch 0, batch 9720, loss 3.032573
  epoch 0, batch 9760, loss 2.596588
  epoch 0, batch 9800, loss 3.452410
  epoch 0, batch 9840, loss 3.293161
Train 0, loss: 3.397638, train acc: 0.198374, train avg acc: 0.089326
Test 0, loss: 2.950451, test acc: 0.330227, test avg acc: 0.218093
  epoch 1, batch 40, loss 2.555129
  epoch 1, batch 80, loss 2.474175
  epoch 1, batch 120, loss 3.346234
  epoch 1, batch 160, loss 2.976511
  epoch 1, batch 200, loss 2.859470
  epoch 1, batch 240, loss 3.725960
  epoch 1, batch 280, loss 3.386923
  epoch 1, batch 320, loss 2.297498
  epoch 1, batch 360, loss 3.956160
  epoch 1, batch 400, loss 3.863527
  epoch 1, batch 440, loss 2.680449
  epoch 1, batch 480, loss 4.048313
  epoch 1, batch 520, loss 3.537040
  epoch 1, batch 560, loss 2.711488
  epoch 1, batch 600, loss 3.329674
  epoch 1, batch 640, loss 2.994213
  epoch 1, batch 680, loss 2.752318
  epoch 1, batch 720, loss 2.656041
  epoch 1, batch 760, loss 2.440791
  epoch 1, batch 800, loss 3.189327
  epoch 1, batch 840, loss 2.949801
  epoch 1, batch 880, loss 3.579142
  epoch 1, batch 920, loss 3.012539
  epoch 1, batch 960, loss 3.883572
  epoch 1, batch 1000, loss 2.888671
  epoch 1, batch 1040, loss 2.673547
  epoch 1, batch 1080, loss 2.634794
  epoch 1, batch 1120, loss 3.491359
  epoch 1, batch 1160, loss 2.631546
  epoch 1, batch 1200, loss 3.001742
  epoch 1, batch 1240, loss 2.845042
  epoch 1, batch 1280, loss 2.863024
  epoch 1, batch 1320, loss 2.480985
  epoch 1, batch 1360, loss 2.803258
  epoch 1, batch 1400, loss 4.006026
  epoch 1, batch 1440, loss 2.774621
  epoch 1, batch 1480, loss 2.380526
  epoch 1, batch 1520, loss 3.430104
  epoch 1, batch 1560, loss 3.375566
  epoch 1, batch 1600, loss 2.923339
  epoch 1, batch 1640, loss 2.892317
  epoch 1, batch 1680, loss 2.725630
  epoch 1, batch 1720, loss 3.334902
  epoch 1, batch 1760, loss 3.054059
  epoch 1, batch 1800, loss 3.087443
  epoch 1, batch 1840, loss 2.880918
  epoch 1, batch 1880, loss 3.889864
  epoch 1, batch 1920, loss 3.512348
  epoch 1, batch 1960, loss 2.900858
  epoch 1, batch 2000, loss 2.858205
  epoch 1, batch 2040, loss 3.089816
  epoch 1, batch 2080, loss 2.509788
  epoch 1, batch 2120, loss 2.595957
  epoch 1, batch 2160, loss 2.443703
